country,iso3,indicator,year,value_pct,yoy_delta,captured_at
BEL,BEL,cpi_infl_pct,2028,2.100,-0.100,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2029,2.000,-0.100,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2030,1.800,-0.200,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2031,1.800,+0.000,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2016,-0.800,-1.000,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2017,1.800,+2.600,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2018,0.800,-1.000,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2019,-0.900,-1.700,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2020,3.000,+3.900,2026-04-27T23:10:43Z
BEN,BEN,cpi_infl_pct,2021,1.700,-1.300,2026-04-27T23:10:43Z
