country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Italy,IT,2024-07,1.60,+0.70,2026-04-27T23:10:44Z
Italy,IT,2024-08,1.20,-0.40,2026-04-27T23:10:44Z
Italy,IT,2024-09,0.70,-0.50,2026-04-27T23:10:44Z
Italy,IT,2024-10,1.00,+0.30,2026-04-27T23:10:44Z
Italy,IT,2024-11,1.50,+0.50,2026-04-27T23:10:44Z
Italy,IT,2024-12,1.40,-0.10,2026-04-27T23:10:44Z
Italy,IT,2025-01,1.70,+0.30,2026-04-27T23:10:44Z
Italy,IT,2025-02,1.70,+0.00,2026-04-27T23:10:44Z
Italy,IT,2025-03,2.10,+0.40,2026-04-27T23:10:44Z
Italy,IT,2025-04,2.00,-0.10,2026-04-27T23:10:44Z
Italy,IT,2025-05,1.70,-0.30,2026-04-27T23:10:44Z
Italy,IT,2025-06,1.80,+0.10,2026-04-27T23:10:44Z
Italy,IT,2025-07,1.70,-0.10,2026-04-27T23:10:44Z
Italy,IT,2025-08,1.60,-0.10,2026-04-27T23:10:44Z
Italy,IT,2025-09,1.80,+0.20,2026-04-27T23:10:44Z
Italy,IT,2025-10,1.30,-0.50,2026-04-27T23:10:44Z
Italy,IT,2025-11,1.10,-0.20,2026-04-27T23:10:44Z
Italy,IT,2025-12,1.20,+0.10,2026-04-27T23:10:44Z
Netherlands,NL,2023-01,8.40,,2026-04-27T23:10:44Z
Netherlands,NL,2023-02,8.90,+0.50,2026-04-27T23:10:44Z
Netherlands,NL,2023-03,4.50,-4.40,2026-04-27T23:10:44Z
Netherlands,NL,2023-04,5.80,+1.30,2026-04-27T23:10:44Z
Netherlands,NL,2023-05,6.80,+1.00,2026-04-27T23:10:44Z
Netherlands,NL,2023-06,6.40,-0.40,2026-04-27T23:10:44Z
Netherlands,NL,2023-07,5.30,-1.10,2026-04-27T23:10:44Z
Netherlands,NL,2023-08,3.40,-1.90,2026-04-27T23:10:44Z
Netherlands,NL,2023-09,-0.30,-3.70,2026-04-27T23:10:44Z
Netherlands,NL,2023-10,-1.00,-0.70,2026-04-27T23:10:44Z
Netherlands,NL,2023-11,1.40,+2.40,2026-04-27T23:10:44Z
Netherlands,NL,2023-12,1.00,-0.40,2026-04-27T23:10:44Z
Netherlands,NL,2024-01,3.10,+2.10,2026-04-27T23:10:44Z
Netherlands,NL,2024-02,2.70,-0.40,2026-04-27T23:10:44Z
Netherlands,NL,2024-03,3.10,+0.40,2026-04-27T23:10:44Z
Netherlands,NL,2024-04,2.60,-0.50,2026-04-27T23:10:44Z
