ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
NXT,Nextpower Inc.,0001852131,CY2025Q4,909352000,CY2024Q4,679363000,33.85,,0001852131-26-000006,2026-04-27T23:04:08Z
CIEN,Ciena Corp,0000936395,CY2025Q4,1427042000,CY2024Q4,1072260000,33.09,,0001628280-26-015152,2026-04-27T23:04:08Z
CGEH,"CAPSTONE GREEN ENERGY HOLDINGS, INC.",0001009759,CY2025Q4,26762000,CY2024Q4,20148000,32.83,,0001104659-26-014292,2026-04-27T23:04:08Z
ZEOX,"Zeo ScientifiX, Inc.",0001557376,CY2025Q4,1446000,CY2024Q4,1090000,32.66,,0001829126-26-002396,2026-04-27T23:04:08Z
AFRM,"Affirm Holdings, Inc.",0001820953,CY2025Q4,1123019000,CY2024Q4,866381000,29.62,,0001628280-26-005855,2026-04-27T23:04:08Z
CLRI,"CLEARTRONIC, INC.",0001362516,CY2025Q4,1252539,CY2024Q4,967324,29.48,,0001091818-26-000014,2026-04-27T23:04:08Z
RZC,"REINSURANCE GROUP OF AMERICA, INCORPORATED",0000898174,CY2025Q4,6635000000,CY2024Q4,5241000000,26.60,,0000898174-26-000006,2026-04-27T23:04:08Z
LVS,LAS VEGAS SANDS CORP.,0001300514,CY2025Q4,3649000000,CY2024Q4,2896000000,26.00,,0001300514-26-000013,2026-04-27T23:04:08Z
TRNS,"Transcat, Inc.",0000099302,CY2025Q4,83856000,CY2024Q4,66754000,25.62,,0001437749-26-002800,2026-04-27T23:04:08Z
PLUS,ePlus inc.,0001022408,CY2025Q4,614774000,CY2024Q4,493221000,24.64,,0001140361-26-003725,2026-04-27T23:04:08Z
MTSI,"MACOM Technology Solutions Holdings, Inc.",0001493594,CY2025Q4,271612000,CY2024Q4,218122000,24.52,,0001493594-26-000019,2026-04-27T23:04:08Z
IIIN,Insteel Industries Inc.,0000764401,CY2025Q4,159924000,CY2024Q4,129720000,23.28,,0001437749-26-001338,2026-04-27T23:04:08Z
KEYS,"KEYSIGHT TECHNOLOGIES, INC.",0001601046,CY2025Q4,1600000000,CY2024Q4,1298000000,23.27,,0001601046-26-000008,2026-04-27T23:04:08Z
NVEC,NVE CORP,0000724910,CY2025Q4,6224776,CY2024Q4,5063045,22.95,,0001376474-26-000059,2026-04-27T23:04:08Z
UPYY,"UPAY, Inc.",0001677897,CY2025Q4,184587,CY2024Q4,150366,22.76,,0001575872-26-000025,2026-04-27T23:04:08Z
RGS,Regis Corp,0000716643,CY2025Q4,57117000,CY2024Q4,46719000,22.26,,0000716643-26-000006,2026-04-27T23:04:08Z
SNOA,"SONOMA PHARMACEUTICALS, INC.",0001367083,CY2025Q4,4349000,CY2024Q4,3564000,22.03,,0001683168-26-000889,2026-04-27T23:04:08Z
NPK,NATIONAL PRESTO INDUSTRIES INC,0000080172,CY2025Q4,163973000,CY2024Q4,134692000,21.74,,0001437749-26-008214,2026-04-27T23:04:08Z
MOG-B,MOOG Inc.,0000067887,CY2025Q4,1100346000,CY2024Q4,907882000,21.20,,0001628280-26-004327,2026-04-27T23:04:08Z
D,"DOMINION ENERGY, INC.",0000715957,CY2025Q4,4093000000,CY2024Q4,3400000000,20.38,,0001193125-26-063120,2026-04-27T23:04:08Z
KLIC,"KULICKE AND SOFFA INDUSTRIES, INC.",0000056978,CY2025Q4,199625000,CY2024Q4,166124000,20.17,,0000056978-26-000012,2026-04-27T23:04:08Z
CLEV,"Concrete Leveling Systems, Inc.",0001414382,CY2025Q4,150,CY2024Q4,125,20.00,,0001477932-26-001542,2026-04-27T23:04:08Z
CVLT,"Commvault Systems, Inc",0001169561,CY2025Q4,313832000,CY2024Q4,262630000,19.50,,0001169561-26-000006,2026-04-27T23:04:08Z
WOR,"WORTHINGTON ENTERPRISES, INC",0000108516,CY2025Q4,327452000,CY2024Q4,274046000,19.49,,0001193125-26-008430,2026-04-27T23:04:08Z
ORI,OLD REPUBLIC INTERNATIONAL CORPORATION,0000074260,CY2025Q4,2389400000,CY2024Q4,2002000000,19.35,,0000074260-26-000008,2026-04-27T23:04:08Z
CAH,"Cardinal Health, Inc.",0000721371,CY2025Q4,65627000000,CY2024Q4,55264000000,18.75,,0000721371-26-000006,2026-04-27T23:04:08Z
NFG,NATIONAL FUEL GAS COMPANY,0000070145,CY2025Q4,651507000,CY2024Q4,549482000,18.57,,0000070145-26-000009,2026-04-27T23:04:08Z
HPE-PC,HEWLETT PACKARD ENTERPRISE COMPANY,0001645590,CY2025Q4,9301000000,CY2024Q4,7854000000,18.42,,0001645590-26-000032,2026-04-27T23:04:08Z
PAYX,"Paychex, Inc.",0000723531,CY2025Q4,1557600000,CY2024Q4,1316900000,18.28,,0001193125-25-328698,2026-04-27T23:04:08Z
ZDGE,"ZEDGE, INC.",0001667313,CY2025Q4,8254000,CY2024Q4,6979000,18.27,,0001213900-26-028295,2026-04-27T23:04:08Z
JRSH,"Jerash Holdings (US), Inc.",0001696558,CY2025Q4,41769186,CY2024Q4,35384737,18.04,,0001213900-26-014379,2026-04-27T23:04:08Z
CAT,CATERPILLAR INC.,0000018230,CY2025Q4,19133000000,CY2024Q4,16215000000,18.00,,0000018230-26-000013,2026-04-27T23:04:08Z
WS,"WORTHINGTON STEEL, INC.",0001968487,CY2025Q4,871900000,CY2024Q4,739000000,17.98,,0001193125-26-007694,2026-04-27T23:04:08Z
DGII,DIGI INTERNATIONAL INC.,0000854775,CY2025Q4,122462000,CY2024Q4,103866000,17.90,,0000854775-26-000005,2026-04-27T23:04:08Z
INTU,INTUIT INC.,0000896878,CY2025Q4,4651000000,CY2024Q4,3963000000,17.36,,0000896878-26-000014,2026-04-27T23:04:08Z
RBC,RBC BEARINGS INCORPORATED,0001324948,CY2025Q4,461600000,CY2024Q4,394400000,17.04,,0001213900-26-012732,2026-04-27T23:04:08Z
DWAY,"DRIVEITAWAY HOLDINGS, INC.",0001394638,CY2025Q4,282242,CY2024Q4,241946,16.65,,0001731122-26-000300,2026-04-27T23:04:08Z
IVDN,"INNOVATIVE DESIGNS, INC.",0001190370,CY2025Q4,632201,CY2024Q4,543916,16.23,,0001731122-26-000447,2026-04-27T23:04:08Z
IESC,"IES Holdings, Inc.",0001048268,CY2025Q4,870958000,CY2024Q4,749547000,16.20,,0001048268-26-000037,2026-04-27T23:04:08Z
NEN,New England Realty Associates Limited Partnership,0000746514,CY2025Q4,23580871,CY2024Q4,20379550,15.71,,0001104659-26-027586,2026-04-27T23:04:08Z
HEI-A,HEICO CORPORATION,0000046619,CY2025Q4,1178582000,CY2024Q4,1030222000,14.40,,0000046619-26-000005,2026-04-27T23:04:08Z
ATO,Atmos Energy Corp,0000731802,CY2025Q4,1342585000,CY2024Q4,1175999000,14.17,,0000731802-26-000013,2026-04-27T23:04:08Z
TDG,TransDigm Group Incorporated,0001260221,CY2025Q4,2285000000,CY2024Q4,2006000000,13.91,,0001260221-26-000017,2026-04-27T23:04:08Z
CIA,"CITIZENS, INC.",0000024090,CY2025Q4,72070000,CY2024Q4,63474000,13.54,,0000024090-26-000011,2026-04-27T23:04:08Z
PURE,"PURE Bioscience, Inc.",0001006028,CY2025Q4,443000,CY2024Q4,391000,13.30,,0001493152-26-010385,2026-04-27T23:04:08Z
SPG-PJ,"SIMON PROPERTY GROUP, INC.",0001063761,CY2025Q4,1791462000,CY2024Q4,1582232000,13.22,,0001104659-26-019419,2026-04-27T23:04:08Z
